序号,标题,内容,Title,Content
13,述怀一首,去年潼关破，妻子隔绝久。今夏草木长，脱身得西走。麻鞋见天子，衣袖露两肘。朝廷愍生还，亲故伤老丑。涕泪授拾遗，流离主恩厚。柴门虽得去，未忍即开口。寄书问三川，不知家在否。比闻同罹祸，杀戮到鸡狗。山中漏茅屋，谁复依户牖。摧颓苍松根，地冷骨未朽。几人全性命，尽室岂相偶。嶔岑猛虎场，郁结回我首。自寄一封书，今已十月后。反畏消息来，寸心亦何有。汉运初中兴，生平老耽酒。沉思欢会处，恐作穷独叟。,An Account of My Concerns ,"Last year Tong Pass was broken,
I have long been cut off from wife and children.
This summer, as plants and trees grew tall,
I escaped and got to flee west.
In hemp sandals I met the Son of Heaven,
both elbows showed through the sleeves of my clothes. 
The court had sympathy that I had made it alive,
old friends were pained at how old and ugly I had become. 
With tears I received the Reminder's post,
our lord's grace was great for those who fled.
Though I could have gone off to my ramshackle gate,
I could not bring myself to mention it right then.
I sent a letter asking of ftree Rivers,
not knowing whether my family survived.
Since then I heard that all there had suffered calamity,
massacred down to the chickens and dogs.
In the mountains under a leaky thatch roof, 
is there anyone still leaning at the window? 
In the roots of a broken gray-green pine,
the ground is so cold that their bones won't have rotted. 
How many people escaped with their lives? -
how can the entire household be together again? 
Mountainous land, a field for fierce tigers,
my heart knots within, I turn my head. 
Since I sent them a letter,
it has already been more than ten months. 
Now instead I dread that news will come -
what feelings are there in this heart?
The Han's fate now for the first time rises anew, 
all my life I have been a lover of ale.
I yearn deeply for that moment of joyous reunion
and fear becoming a poor and solitary old man."
14,徒步归行,明公壮年值时危，经济实藉英雄姿。国之社稷今若是，武定祸乱非公谁。凤翔千官且饱饭，衣马不复能轻肥。青袍朝士最困者，白头拾遗徒步归。人生交契无老少，论交一作心何必先同调。妻子山中哭向天，须公枥上追风骠。,Returning Home On Foot: A Ballad,"In years of your prime Your Excellency has met with perilous times, 
running the state depends indeed on the qualities of a hero.
Since the dynasty's altars of Earth and Grain are as they are right now,
who but you, sir, by martial measures can quell ruin and rebellion? 
The thousand officials at Fengxiang for now are all well fed,
but no more can their clothes be light and their horses sleek. 
Of the courtiers in gowns of blue, the one in the hardest straits
is this white-haired Reminder going home on foot.

Friendships formed in human life take no account of age,
in considering association why need one put sameness of temper first? 
In the mountains my wife and children weep facing the heavens,
from your stables I need the wind-chasing brown charger."
15,元日寄韦氏妹,近闻韦氏妹，迎在汉钟离。郎伯殊方镇，京华旧国移。春城回北斗，郢树发南枝。不见朝正使，啼痕满面垂。得家书去凭游客寄，来为附家书。今日知消息，他乡且旧居。熊儿幸无恙，骥子最怜渠。临老羁孤极，伤时会合疏。二毛趋帐殿，一命侍鸾舆。北阙妖氛满，西郊白露初。凉风新过雁，秋雨欲生鱼。农事空山里，眷言终荷锄。,"On New Year's Day, To my Sister Married into the Wei's ","I've recently heard that my sister with the Wei's
was received in Hanzhongli.
Her husband is elsewhere with a military command,
the capital has moved from Chang'an.
The city in spring, the North Dipper turns round, 
Ying's trees sprout on their south-facing branches. 
I don't see the New Year's envoys to court,
tracks of tears hang, filling my face."
16,出郭,霜露晚凄凄，高天逐望低。远烟盐井上，斜景雪峰西。故国犹兵马，他乡亦鼓鼙。江城今夜客，还与旧乌啼。,Leaving the Town,"Frost and dew grow chilly late in the day, 
the high skies get lower the farther I gaze. 
Distant smoke is rising over the salt-wells,
sinking daylight from west of snow-capped peaks. 
In my homeland there are still troops and horses, 
in this strange land too, war-drums.
A sojourner in the river city tonight
goes back, crying out with the same old crows."
17,垂老别,四郊未宁静，垂老不得安。子孙阵亡尽，焉用身独完。投杖出门去，同行为辛酸。幸有牙齿存，所悲骨髓干。男儿既介胄，长揖别上官。老妻卧路啼，岁暮衣裳单。孰知是死别，且复伤其寒。此去必不归，还闻劝加餐。土门壁甚坚，杏园度亦难。势异邺城下，纵死时犹宽。人生有离合，岂择衰盛端。忆昔少壮日，迟回竟长叹。万国尽征戍，烽火被冈峦。积尸草木腥，流血川原丹。何乡为乐土，安敢尚盘桓。弃绝蓬室居，塌然摧肺肝。,Parted When Getting Old,"No quiet or calm in the land all around, 
those getting old can find no peace.
Children and grandchildren have all died in the ranks,
why should I survive alone?
I throw down my cane and go out the gate, 
those who go with me feel bitter pain for me. 
Fortunately I have some teeth remaining,
that my frame shrunken and dry is what grieves me. 
When a man puts on the armor and helm,
he gives a deep bow, leaving the chief magistrate. 
My old wife lies weeping on the road,
her clothes too thin for the end of the year. 
I know well that this is parting for good,
yet I still feel pained at how poor she will be. 
Once I go, I will surely never return,
yet I still hear her urging me to eat well.
Earthgate Barrier's walls are quite strong,
it will be hard for them to cross at Apricot Garden.
The situation is different than it was by Ye,
so even though I will die, the time may be delayed.
Human life has its partings and reunions, 
frail old age has not been exempted.
I recall long ago when young and strong,
I linger, looking back, and at last heave long sighs. 
All the domains have gone on campaign,
beacon fires cover the ridges and hills. 
Plants and trees stink from piled corpses,
stream and plain are red with flowing blood. 
What village is a ""happy land?""-
how can I dare still hesitate?
I leave my ramshackle dwelling behind forever,
feeling hopeless, I am broken within."
18,东楼,万里流沙道，西征过北门。但添新战骨，不返旧征魂。楼角凌风迥，城阴带水昏。传声看驿使，送节向河源。,East Tower,"The road to Drifting Sands stretches ten thousand leagues, 
those on western campaigns pass through the north gate. 
It only adds to the bones of recent battles,
it does not bring back the souls of former campaigns. 
The tower corners are remote, rising into winds,
the wall's shadow is dim along the waters. 
Word is passed around to go see the envoy
who carries the standards toward the River's source."
19,发同谷县,贤有不黔突，圣有不煖席。况我饥愚人，焉能尚安宅。始来兹山中，休驾喜地僻。奈何迫物累，一岁四行役。忡忡去绝境，杳杳更远适。停骖龙潭云，回首白崖石。临岐别数子，握手泪再滴。交情无旧深，穷老多惨戚。平生懒拙意，偶值栖遁迹。去住与愿违，仰惭林间翮。,Setting Out from Tonggu County,"There was a worthy man whose chimney never was black, 
there was a sage whose mat was never warm.
More so I, hungry and foolish man,
how can I long be at rest in a house? 
When first I came to these mountains,
I halted my coach, delighting in the remoteness.
I was inevitably driven by entanglements of things
to forced travels four times in one year. 
Careworn, I leave this cut-off land, 
going even farther into faint distances.
I halted my team by Dragon Tarn's clouds,
turned my head at Tiger Slope's rocks.
At the crossroads I parted from several men,
tears fell once again as we clasped hands. 
These friendships were neither old nor deep,
but they were very sad for a poor old man. 
All my life I've been lazy and clumsy,
by chance I found a place to lodge and hide away. 
Going or staying always goes counter to my wish,
I'm put to shame by the wings above in the woods."
20,水会渡,山行有常程，中夜尚未安。微月沒已久，崖傾路何難。大江動我前，洶若溟渤寬。篙師暗理楫，歌笑輕波瀾。霜濃木石滑，風急手足寒。入舟已千憂，陟巘仍萬盤。回眺積水外，始知眾星乾。遠遊令人瘦，衰疾慚加餐。,Converging Waters Crossing,"Mountain journeys have regular stages,
but by midnight we still had not rested.
The crescent moon had long sunken away,
the slope tipped downward, how hard was the road! 
The great river stirred before me,
surging as broad as a dark sea.
A boatman plied his oars unseen,
laughing and singing, making light of the waves. 
The frost was thick, trees and rocks slick,
the wind blew hard, hands and feet cold.
Getting on the boat, I already felt a thousand cares,
now mounting the summit, ten thousand more turnings.
Only when peering back over the massed waters 
did I know that all the stars were dry.
Far traveling makes a person lean,
frail and sick, I really should be eating more."
21,立秋后题,日月不相饶，节序昨夜隔。玄蝉无停号，秋燕已如客。平生独往愿，惆怅年半百。罢官亦由人，何事拘形役。,Written after the Beginning of Autumn,"The days and months show us no leniency, 
last night the seasons in sequence changed. 
Cold cicadas cease not in their cries,
autumn swallows are already like sojourners. 
My lifetime desire, to go off on my own, 
depressed that my years are half a century. 
To quit office still comes from oneself -
why am I trapped in service to my body?"
22,乾元中寓居同谷县作歌七首（其二）,长镵长镵白木柄，我生托子以为命！黄独无苗山雪盛，短衣数挽不掩胫。此时与子空归来，男呻女吟四壁静。呜呼二歌兮歌始放，闾里为我色惆怅！,Songs Written While Residing in Tonggu County in the Qianyuan Reign II,"Long harrow, long harrow, handle of white wood, 
my life is entrusted to you as my destiny.
No sprout from the wild taros, the mountain snows are heavy,
I often tug at my short robe, but it doesn't cover my shins.
At this moment together with you I return home empty-handed, 
my boy moans, the girl groans, the four walls are still.
Alas, I sing my second song, and the song now gets wild,
on our behalf the village looks distressed."
23,乾元中寓居同谷县作歌七首（其六）,南有龙兮在山湫，古木巄嵷枝相樛。木叶黄落龙正蛰，蝮蛇东来水上游。我行怪此安敢出，拨剑欲斩且复休。呜呼六歌兮歌思迟，溪壑为我回春姿！,Songs Written While Residing in Tonggu County in the Qianyuan Reign VI,"To the south there is a dragon in a mountain tarn, 
ancient trees are towering, with boughs bending down. 
The tree leaves yellow and fall, the dragon is asleep,
vipers come from the east, swimming in the waters.
I marveled at this in my travels, how could I dare go forth? - 
I drew my sword to cut them in half, but then desisted.
Alas, I sing my sixth song, the thoughts in the song linger on,
on my behalf creek and ravine will bring back the beauty of spring.
"
24,乾元中寓居同谷县作歌七首（其七）,男儿生不成名身已老，三年饥走荒山道。长安卿相多少年，富贵应须致身早。山中儒生旧相识，但话宿昔伤怀抱。呜呼七歌兮悄终曲，仰视皇天白日速！,Songs Written While Residing in Tonggu County in the Qianyuan Reign VII,"Man-child born and achieved no fame, his body is already old, 
for three years hurrying hungry over desolate mountain ways. 
The ministers in Chang'an are mostly younger men,
for wealth and honor one truly must dedicate oneself early. 
Confucians in these mountains are former acquaintances, 
talking only about the past brings pain to my feelings.
Alas, I sing my seventh song, and in silence end the tune,
looking up I see in sovereign Heaven the bright sun speeding."
25,乾元中寓居同谷县作歌七首（其三）,有弟有弟在远方，三人各瘦何人强？生别展转不相见，胡尘暗天道路长。东飞鴐鹅后鹙鸧，安得送我置汝旁！呜呼三歌兮歌三发，汝归何处收兄骨？,Songs Written While Residing in Tonggu County in the Qianyuan Reign III,"I have younger brothers, I have younger brothers in places faraway, 
each of the three has grown gaunt, which of them is strong?
Parted in life, I toss and turn and cannot see them,
Hu dust darkens the heavens, and the road is long. 
A wild goose is flying east, with a bald heron behind,
how could I get them to take me and set me by your side?
Alas, I sing my third song, my songs come forth thrice,
where will you go and how will you gather your elder brother's bones?"
26,乾元中寓居同谷县作歌七首（其四）,有妹有妹在钟离，良人早殁诸孤痴。长淮浪高蛟龙怒，十年不见来何时？扁舟欲往箭满眼，杳杳南国多旌旗。呜呼四歌兮歌四奏，林猿为我啼清昼！,Songs Written While Residing in Tonggu County in the Qianyuan Reign IV,"I have a sister, I have a sister, she is in Zhongli,
her husband perished early, the fatherless children were babes. 
The waves are high on the long Huai, krakens and dragons rage.
for ten years I have not seen her, when will she come? 
I want to go in a tiny boat, but arrows fill my eyes,
the southern lands lie far, far away, there are many flags and banners. 
Alas, I sing my fourth song, my song performed fourfold,
on my behalf forest gibbons cry out in clear daylight.
"
27,乾元中寓居同谷县作歌七首（其五）,四山多风溪水急，寒雨飒飒枯树湿。黄蒿古城云不开，白狐跳梁黄狐立。我生何为在穷谷？中夜起坐万感集！呜呼五歌兮歌正长，魂招不来归故乡！,Songs Written While Residing in Tonggu County in the Qianyuan Reign V,"Much wind in the mountains all around, the creek waters run fast, 
cold rain in the whistling winds, the leafless trees are wet.
Ancient walls covered with brown artemesia, the clouds do not break,
the white fox leaps about, the brown fox stands still. 
Why is it I live this life within this poor valley? - 
restless at midnight, ten thousand cares gather.
Alas, I sing my fifth song, and the song stretches on long,
the soul is summoned but does not come to return to its native home.
"
28,乾元中寓居同谷县作歌七首（其一）,有客有客字子美，白头乱发垂过耳。岁拾橡栗随狙公，天寒日暮山谷里。中原无书归不得，手脚冻皴皮肉死。呜呼一歌兮歌已哀，悲风为我从天来！,Songs Written While Residing in Tonggu County in the Qianyuan Reign I,"There is a sojourner, a sojourner, his given name, Zimei, 
a head of tangled white hair hangs down past his ears.
For his harvest he gathers chestnut-oak acorns as the monkey-keeper wills,
the weather, cold at twilight in the mountain valley.
No letters come from the central plain, he cannot get to return, 
hand and feet chapped from frostbite, the skin is dead.
Alas, I sing my first song, the song is already full of lament,
and on my behalf a sad wind comes down from the heavens."
29,月夜忆舍弟,戍鼓断人行，秋边一雁声。露从今夜白，月是故乡明。有弟皆分散，无家问死生。寄书长不达，况乃未休兵。,Recalling My Brothers on a Moonlit Night ,"The garrison drums stop people traveling,
fall on the frontier, the sound of one wild goose.
The dew will be white from this night on,
the moon is as bright as at home.
I have brothers, but all are scattered,
I have no family to ask if they still live. 
I send letters but they never arrive,
even more as warfare has not ceased."
30,恨别,洛城一别四千里，胡骑长驱五六年。草木变衰行剑外，兵戈阻绝老江边。思家步月清宵立，忆弟看云白日眠。闻道河阳近乘胜，司徒急为破幽燕。,Regretting Parting,"Once we parted in Luoyang I was four thousand leagues away, 
Hu horsemen keep on galloping for five or six years.
Plants and trees withered away as I went beyond Swordgate;
now blocked and cut off by clash of arms I grow old beside the River.
Longing for home, I pace in moonlight and stand in the clear night, 
recalling my brothers, I watch the clouds and doze off in broad daylight.
I've heard that at Heyang there was recently a victory -
may the Minister act quickly and smash You and Yan for me!"
31,悲秋,凉风动万里，群盗尚纵横。家远传书日，秋来为客情。愁窥高鸟过，老逐众人行。始欲投三峡，何由见两京。,Grieving over Autumn,"A chill wind stirs across ten thousand leagues, 
bands of pillagers still run free everywhere.
My family far, the day I sent the letter,
autumn comes, the feelings of being a sojourner. 
In sadness I peer at the high birds passing,
old, I go where the crowd goes.
Now I want to lodge in the Three Gorges,
how can I ever see the two capitals?"
32,过郭代公故宅,豪俊初未遇，其迹或脱略。代公尉通泉，放意何自若。及夫登 衮冕，直气森喷薄。磊落见异人，岂伊常情度。定策神龙后，宫中翕清廓。俄顷辨尊亲，指挥存顾托。群公有惭色，王室无削弱。迥出名臣上，丹青照台阁。我行得遗迹，池馆皆疏凿。壮公临事断，顾步涕横落。精魄凛如在，所历终萧索。高咏宝剑篇，神交付冥漠。,"Passing By Guo Yuanzhen, Duke of Dai's Former House ","Before that outstanding man was recognized,
his doings were sometimes quite unrestrained.
When the Duke of Dai was sheriff of Tongquan
how free he was in doing as he pleased! 
But when he ascended to robes of court, 
his upright temper swept sternly ahead.
A towering presence, a rare person revealed,
how can such be measured by ordinary standards? 
He determined his plans after the Shenlong Reign, 
the palace was swiftly made spacious and clear.
In a short time he explained how parents were honored,
under his direction he preserved the trust given him. 
All the court gentlemen looked ashamed,
the royal house was in no way weakened. 
He stands out far above the famous officials,
his portrait shines in the royal gallery. 
In my travels I have found his traces, 
lodge pools were all dug out later.
I admire his decision in handling matters,
looking around as I walk, my tears stream freely.
In a loud voice I intone his ""Jeweled Sword,""
the friendship of our spirits is entrusted to the underworld."
33,通泉驿南去通泉县十五里山水作,溪行衣自湿，亭午气始散。冬温蚊蚋在，人远凫鸭乱。登顿生曾阴，欹倾出高岸。驿楼衰柳侧，县郭轻烟畔。一川何绮丽，尽目穷壮观。山色远寂寞，江光夕滋漫。伤时愧孔父，去国同王粲 。我生苦飘零，所历有嗟叹 。,"Composed in the Landscape, Fifteen Leagues Going South from Tongquan","Post Station to the Tongquan County Seat
Walking along the creek our clothes got wet, 
only at noon did the vapor disperse.
Winter was warm, flies and gnats were still there,
far from people ducks are scattered everywhere. 
Climbing and descending, layers of shadow appeared, 
we came out from the high and slanting bank.
The station building was beside dying willows,
the county seat was at the edge of light mist. 
It was so gorgeous all the way along the river,
I looked as far as I could, enjoying the bold vista to the utmost. 
The far colors of the mountains were still and lonely,
light on the river flooded over at evening.
Confucius puts me to shame in distress for the times, 
I am the same as Wang Can in leaving the capital.
In my life I have suffered being tossed along,
and in what I have passed through, I have sighed."
34,早发射洪县南途中作,将老忧贫窭，筋力岂能及。征途乃侵星，得使诸病入。鄙人寡道气，在困无独立。俶装逐徒旅，达曙凌险涩。寒日出雾迟，清江转山急。仆夫行不进，驽马若维絷。汀洲稍疏散，风景开怏悒。空慰所尚怀，终非曩游集。衰颜偶一破，胜事难屡挹。茫然阮籍途，更洒杨朱泣。,"Setting Out Early from Shehong County, Composed on the South Road","Getting old I worry about my poverty, 
how can my strength be up to this?
Setting out on the road in starlight
makes one vulnerable to all manner of illnesses.
A low person like me lacks the spirit of the Way, 
in difficult straits I am never independent.
We pack our bags, follow fellow-travelers,
until daybreak we cross rough and perilous ground. 
The cold sun is slow to come out of the fog,
the clear river runs swiftly around the mountain. 
My servant walks without making progress,
my old nag seems as if hobbled.
Beaches and isles gradually appear sparsely scattered, 
the scenery dispels the heavy gloom.
It merely consoles my feelings of admiration,
but in the end these are not my former excursions and parties.
Then by chance my aging face smiles,
such splendid scenes are hard to take in often. 
Vague and vast, the road of Ruan Ji,
and once more I shed Yang Zhu's tears."
35,发阆中,前有毒蛇后猛虎，溪行尽日无村坞。江风萧萧云拂地，山木惨惨天欲雨。女病妻忧归意速，秋花锦石谁复数。别家三月一得书，避地何时免愁苦。,Setting Out from Langzhong,"Ahead there are poisonous serpents, fierce tigers lie behind, 
I go on the stream all day long, no hamlets or villages.
The river wind whistles, clouds brush the ground,
the mountain trees are gloomy, the heavens about to rain.
My daughter is sick, my wife worried, I want to get back in a hurry, 
of autumn flowers and stones like brocade I don't take note this time. 
Three months away from home and only once I got a letter,
when in this place of refuge have I avoided bitter sorrow?"
36,将赴荆南寄别李剑州,使君高义驱今古，寥落三年坐剑州。但见文翁能化俗，焉知李广未封侯。路经滟滪双蓬鬓，天入沧浪一钓舟。戎马相逢更何日，春风回首仲宣楼。,"About to Go to Jingnan, I Send This to Li of Jianzhou on Parting ","The governor's noble virtues would be glorious in any age,
three dreary years, down and out, you have spent in Jianzhou.
Seeing only an Old Man Wen in ability to civilize the commons,
how would one know that our Li Guang was never given a fief ? 
My route will pass the Yanyu Rocks, a pair of tangled tresses at the temples;
where the heavens enter the gray waves, a single fishing boat. 
Among war horses when will we ever meet again? -
in the spring breeze I will turn my head on Zhongxuan's tower."
37,寄题江外草堂,我生性放诞，雅欲逃自然。嗜酒爱风竹，卜居必林泉。遭乱到蜀江，卧疴遣所便。诛茅初一亩，广地方连延。经营上元始，断手宝应年。敢谋土木丽，自觉面势坚。台亭随高下，敞豁当清川。虽有会心侣，数能同钓船。干戈未偃息，安得酣歌眠。蛟龙无定窟，黄鹄摩苍天。,Sent to Be Written on My Thatched Cottage beyond the River,"All my life I've been unrestrained,
I've always wanted to flee into the natural way. 
I crave ale, love windblown bamboo,
I always site my dwelling with woods and streams.
Meeting war, I came to the rivers of Shu, 
bedridden, I found release by what suited me. 
I began with one acre to build my cottage,
then extended it to a broader plot.
I set to work at the start of the Shangyuan Reign, 
I finished in the Baoying Reign.
Dared I plan for beauty of earth and wood? -
yet I feel that it looks quite sturdy.
Terrace and pavilion follow the high and low places, 
wide open, it faces the clear river.
Although there are companions who know my heart,
can they often share my fishing boat?
The clash of arms has not been put to rest,
how can one get to sing tipsily and sleep?
Dragons have no fixed lair,
the yellow swan rubs the gray heavens.
Have the aims of perfected men since ancient times, 
ever accepted the pull of outer things?
I think on my blunt and clumsy manner,
did I ever recognize the harbingers of my ruin? 
Just then I took my wife in hand and left, 
crossing through the gloom of windblown smoke.
In what I did here was nothing absolutely necessary,
in purity and keeping secluded, I'm ashamed at failing in both. 
I still think on my four little pines,
wild vines will easily strangle them. 
Their frosty bones won't grow very tall,
they will always be pitied by my neighbors."
38,九日,去年登高郪北，今日重在涪江滨。苦遭白发不相放，羞见黄花无数新。世乱郁郁久为客，路难悠悠常傍人。酒阑却忆十年事，肠断骊山清路尘。,The Double Ninth,"Last year I climbed the heights north of Qi County, 
today I find myself again on the shores of the River Fu. 
I bitterly encounter white hair, it won't release me
embarrassed to see the chrysanthemums countlessly renewed. 
Feelings pent up at the age's troubles I have long been a wayfarer, 
the roads' hardships go on and on, ever a hanger-on.
The ale done, I think back on what has happened in the past ten years,
heart-breaking, to Mount Li they cleared dust from the road."
